Ticks,M1 Speed,M1 Current,VelPID Derivative
6613.000000,65.921104,1402.666748,0.048565
6623.000000,66.380356,1384.870483,0.043427
6633.000000,67.812439,1287.881592,0.237566
6643.000000,70.316452,1180.386597,0.262539
6653.000000,72.799118,1084.178955,0.234771
6663.000000,75.019203,998.147034,0.209940
6673.000000,77.004478,921.214050,0.187736
6683.000000,78.779778,852.418457,0.167879
6693.000000,81.740639,681.891174,0.417324
6703.000000,86.004593,503.754456,0.434975
6723.000000,94.197578,180.218552,0.373949
6733.000000,97.733795,43.184376,0.334398
6743.000000,100.895988,-83.205261,0.299030
6753.000000,103.723732,-201.015213,0.267402
6763.000000,106.115059,-299.814667,0.212400
6773.000000,107.949066,-372.774048,0.155978
6783.000000,109.335365,-422.892487,0.122224
6793.000000,110.153549,-440.883789,0.043610
6803.000000,110.580254,-458.000244,0.041781
6813.000000,110.975349,-473.310913,0.037362
6823.000000,111.328659,-487.002380,0.033411
6833.000000,110.889267,-439.291138,-0.117085
6843.000000,109.464493,-371.177704,-0.166490
6873.000000,103.572716,-119.034973,-0.221270
6883.000000,101.311493,-24.551682,-0.230710
6893.000000,99.129807,63.060932,-0.206309
6903.000000,97.178879,144.754166,-0.184488
6913.000000,95.099533,248.791931,-0.230106
6923.000000,92.809128,355.795898,-0.228035
6933.000000,90.689934,436.556458,-0.196679
6943.000000,89.027473,492.959991,-0.137467
6953.000000,87.578758,555.144226,-0.151875
6963.000000,86.291351,598.989502,-0.106864
6973.000000,85.509689,619.982239,-0.051028
6983.000000,85.115837,631.641541,-0.028374
6993.000000,84.919044,636.361755,-0.011456
7003.000000,85.039597,622.392029,0.034289
7013.000000,85.375290,608.918762,0.032888
7023.000000,85.823631,585.965942,0.056130
7033.000000,86.222809,575.843323,0.024587
7043.000000,86.609810,554.570190,0.052046
7053.000000,87.305115,519.373779,0.086065
7063.000000,88.204811,481.022095,0.093662
7073.000000,89.090523,446.699646,0.083755
7083.000000,89.882545,416.006989,0.074898
7093.000000,90.882637,365.396759,0.123756
7103.000000,92.052925,320.046265,0.110667
7113.000000,93.110870,278.584167,0.101188
7123.000000,94.153580,234.690552,0.107186
7133.000000,95.167175,195.412292,0.095849
7143.000000,96.073563,160.288177,0.085712
7153.000000,96.884079,128.878952,0.076646
7163.000000,97.608879,75.675667,0.061290
7183.000000,98.662071,67.068787,0.020851
7193.000000,98.853523,59.882099,0.017532
7203.000000,98.936348,60.043236,-0.000465
7213.000000,98.931946,60.213627,-0.000416
7223.000000,98.928009,60.366199,-0.000372
7233.000000,98.924492,60.502514,-0.000333
7243.000000,98.921341,60.624447,-0.000298
7253.000000,98.535141,91.164795,-0.074860
7263.000000,97.844406,117.234795,-0.063602
7273.000000,97.117073,150.534134,-0.081368
7293.000000,95.708305,204.428848,-0.062080
7303.000000,95.121254,227.178040,-0.055514
7313.000000,94.596291,247.521118,-0.049642
7323.000000,93.912277,282.745056,-0.086142
7333.000000,93.212128,305.227722,-0.054764
7343.000000,92.639900,329.611084,-0.059549
7353.000000,92.105392,349.161804,-0.047684
7363.000000,91.740311,359.822418,-0.025940
7373.000000,91.495010,369.328156,-0.023196
7383.000000,91.287102,376.920197,-0.018517
7393.000000,91.220718,375.075897,0.004595
7403.000000,91.298508,370.666687,0.010789
7413.000000,91.449181,362.852509,0.019111
7423.000000,91.652794,354.032104,0.021544
7433.000000,91.988129,335.690948,0.044872
7483.000000,93.824585,263.246338,0.030807
7493.000000,94.221771,243.554459,0.048145
7503.000000,94.654160,227.728500,0.038599
7513.000000,94.970535,217.444427,0.025053
7523.000000,95.207451,208.263519,0.022404
7533.000000,95.390701,202.324585,0.014468
7543.000000,95.473152,201.337875,0.002361
7553.000000,95.495468,200.472778,0.002111
7563.000000,95.509712,200.153397,0.000774
7573.000000,95.517036,199.869507,0.000693
7583.000000,95.523582,199.388962,0.000553
7603.000000,95.486038,203.046509,-0.008968
7613.000000,95.412674,205.424515,-0.005793
7623.000000,95.357895,207.547379,-0.005180
7633.000000,95.308907,209.445786,-0.004633
7643.000000,95.265099,211.143463,-0.004143
7653.000000,95.225929,212.661362,-0.003704
7673.000000,94.978409,230.040344,-0.040377
7683.000000,94.596596,244.836411,-0.036106
7693.000000,94.243713,258.975891,-0.034514
7703.000000,93.917336,271.623749,-0.030864
7713.000000,93.625481,282.933472,-0.027599
7723.000000,93.364487,293.047333,-0.024680
7733.000000,93.156853,300.047607,-0.017060
7743.000000,93.072784,300.167389,-0.000225
7753.000000,93.059204,301.158447,-0.002428
7763.000000,93.082024,298.414734,0.006735
